Km,Vmax,id,activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,polym,Complexity
0.0012,25.1,1056,1,2.7828,1.1314,0.1837,3.6,37,3,6.2,-2,-0.096910013,0.01,0.8,2.698970004,500,-1.22184875,0.06,7.799340549,62.07,0.2,62.068,0,13.21376393,-0.25,2.92,1.974744871,0.125,-0.125,0,0,0,-0.393990542,0,0,226,52,40.5,40.46,-1.4,5.99273862,6,-0.39829863,0.037337328,-1.699066797,1.000032223,0
0.03,12.3,1057,1,2.7452,1.1792,0.22,3.6,37,3,7,1,2,10,100,1.204119983,16,-1.22184875,0.06,7.799340549,62.07,0.2,62.068,0,13.21376393,-0.25,2.92,1.974744871,0.125,-0.125,0,0,0,-0.393990542,0,0,0,40.5,52,40.46,-1.4,6,5.99273862,-0.254557431,-0.254557431,-1.699066797,1.000032223,0
0.81,0.000276,1058,1,2.28,1.35,1.2,4,22,3,7,-1.301029996,-0.22184875,0.05,0.6,3.301029996,2000,-1.384163751,0.076,2.735070476,55000,0.2,173.212,12.62077651,13.21376393,4.11162037,6.816487957,2.61E-07,0.125,-0.125,11.09986462,0,12.96557803,-0.393990542,12.96557803,12.77889057,226,52,40.5,60.77,60.8,5.99273862,6,-0.39829863,0.037337328,-2.048432766,317.5299633,0
0.66,0.000386,1059,1,2.28,1.35,1.2,4,22,3,7,-1.301029996,-0.22184875,0.05,0.6,3.301029996,2000,-1.384163751,0.076,2.428679144,55000,0.2,173.212,12.62077651,13.21376393,4.11162037,6.816487957,2.61E-07,0.125,-0.125,11.09986462,0,12.96557803,-0.393990542,12.96557803,12.77889057,226,52,40.5,60.77,60.8,5.99273862,6,-0.39829863,0.037337328,-2.048432766,317.5299633,0
0.71,0.000512,1060,1,2.28,1.35,1.2,4,22,3,7,-1.301029996,-0.22184875,0.05,0.6,3.301029996,2000,-1.384163751,0.076,1.900405367,55000,0.2,173.212,12.62077651,13.21376393,4.11162037,6.816487957,2.61E-07,0.125,-0.125,11.09986462,0,12.96557803,-0.393990542,12.96557803,12.77889057,226,52,40.5,60.77,60.8,5.99273862,6,-0.39829863,0.037337328,-2.048432766,317.5299633,0
0.73,0.00033,1061,1,2.28,1.35,1.2,4,22,3,7,-1.301029996,-0.22184875,0.05,0.6,3.301029996,2000,-1.384163751,0.076,2.58996858,55000,0.2,173.212,12.62077651,13.21376393,4.11162037,6.816487957,2.61E-07,0.125,-0.125,11.09986462,0,12.96557803,-0.393990542,12.96557803,12.77889057,226,52,40.5,60.77,60.8,5.99273862,6,-0.39829863,0.037337328,-2.048432766,317.5299633,0
0.52,0.00024,1063,1,2.28,1.35,1.2,4,22,3,7,-1.301029996,-0.22184875,0.05,0.6,3.301029996,2000,-0.619382002,0.862,2.476278353,10000,0.2,173.212,12.62077651,13.21376393,4.11162037,6.816487957,2.61E-07,0.125,-0.125,11.09986462,0,12.96557803,-0.393990542,12.96557803,12.77889057,226,52,40.5,60.77,60.8,5.99273862,6,-0.39829863,0.037337328,-2.048432766,57.7327206,0
0.81,0.0003,1064,1,2.28,1.35,1.2,4,22,3,7,-1.301029996,-0.22184875,0.05,0.6,3.301029996,2000,-1.275350142,0.1247,2.747781635,360000,0.2,173.212,12.62077651,13.21376393,4.11162037,6.816487957,2.61E-07,0.125,-0.125,11.09986462,0,12.96557803,-0.393990542,12.96557803,12.77889057,226,52,40.5,60.77,60.8,5.99273862,6,-0.39829863,0.037337328,-2.048432766,2078.377941,0
0.1646,0.0006354,1065,1,2.774,1.059,0.163,5,40,3,7,-2,-1,0.01,0.1,1.397940009,25,-0.522878745,0.3,3,812.414,0.2,111.144,12.62077651,0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0,12.96557803,-0.319671229,12.96557803,12.77889057,226,52,40.5,20.31,0.4,5.99273862,6,-0.39829863,0.037337328,-2.048432761,0,0
0.59,6.83E-05,1066,1,2.774,1.059,0.163,5,40,3,7,1,2,10,100,-1,0.1,-0.522878745,0.3,3,61.676,0.2,111.144,12.62077651,0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0,12.96557803,-0.319671229,12.96557803,12.77889057,0,40.5,52,20.31,0.4,6,5.99273862,-0.254557431,-0.254557431,-2.048432761,0,0
0.51,1.03E-05,1067,1,2.75,1.32,0.9398,3,50,3,5.8,-0.397940009,0.77815125,0.4,6,2,100,-0.578396073,0.264,4.193820026,766.344,1,509.429,30.33183534,26.55196371,1.132567568,11.35766101,2.72E-06,0,-5.2979345,18.19910121,-0.661087884,12.30996141,-0.744019421,19.05647134,48.53093655,226,52,40.5,188.45,10.19226886,5.99273862,6,-0.39829863,0.037337328,0,0,863
5.3,9.60E-06,1068,1,2.75,1.32,-0.3602,3,50,3,6.4,1,2.397940009,10,250,0.602059991,4,-0.578396073,0.264,4.193820026,934.522,1,509.429,30.33183534,26.55196371,1.132567568,11.35766101,2.72E-06,0,-5.2979345,18.19910121,-0.661087884,12.30996141,-0.744019421,19.05647134,48.53093655,0,40.5,52,188.45,10.19226904,6,5.99273862,-0.254557431,-0.254557431,0,0,863
1.3,9.80E-05,1069,1,2.75,1.32,0.5026,4,48,3,7,2,2.698970004,100,500,2.389166084,245,0.301029996,2,3.903089987,10000,1,504.438,0,19.82064589,-2.126505832,12.85728736,1.955293032,0.062261474,-2.041300634,0,0,0,-0.393566515,0,0,226,52,40.5,276.52,-7.2,5.99273862,6,-0.39829863,0.037337328,-2.424394295,19.8240418,625
0.5,0.000116,1070,1,2.75,1.32,0.5026,4,48,3,7,2,2.698970004,100,500,2.389166084,245,0.301029996,2,6.752029231,10000,1,504.438,0,19.82064589,-2.126505832,12.85728736,1.955293032,0.062261474,-2.041300634,0,0,0,-0.393566515,0,0,226,52,40.5,276.52,-7.2,5.99273862,6,-0.39829863,0.037337328,-2.424394295,19.8240418,625
