id,formula,activity,Km,Vmax,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1
11,CoFe2O4,1,0.0752,0.000255451,2.757,1.071,-0.05,6,25,3,7,-3,2,0.001,100,1.176091259,15,-2.096910013,0.008,3.438384107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
12,MnFe2O4,1,0.0015,6.98,2.71,1.083,-0.179,3.5,37,3,7,-3,0.045322979,0.001,1.11,1,10,-3.301029996,0.0005,1.806179974,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,226,52,40.5,37.3,6.5,5.99273862,6,-0.39829863,0.037337328
13,MnFe2O4,1,0.0964,0.353,2.71,1.083,-0.179,3.5,37,3,7,-3,0.045322979,0.001,1.11,1,10,-3.301029996,0.0005,3.612359948,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,226,52,40.5,37.3,6.5,5.99273862,6,-0.39829863,0.037337328
14,MnFe2O4,1,0.0258,1.55,2.71,1.083,-0.179,3.5,37,3,7,-3,0.045322979,0.001,1.11,1,10,-3.301029996,0.0005,3.765817515,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,226,52,40.5,37.3,6.5,5.99273862,6,-0.39829863,0.037337328
15,MnFe2O4,1,0.0330,0.73,2.71,1.083,-0.179,3.5,37,3,7,-3,0.045322979,0.001,1.11,1,10,-3.301029996,0.0005,4.294091292,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,226,52,40.5,37.3,6.5,5.99273862,6,-0.39829863,0.037337328
16,MnFe2O4,1,0.1120,7.15,2.71,1.083,-0.179,3.5,37,3,7,-3,1.380211242,0.001,24,0.176091259,1.5,-3.301029996,0.0005,1.806179974,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,0,40.5,52,37.3,6.5,6,5.99273862,-0.254557431,-0.254557431
17,MnFe2O4,1,0.5430,0.515,2.71,1.083,-0.179,3.5,37,3,7,-3,1.380211242,0.001,24,0.176091259,1.5,-3.301029996,0.0005,3.612359948,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,0,40.5,52,37.3,6.5,6,5.99273862,-0.254557431,-0.254557431
18,MnFe2O4,1,0.2420,4.94,2.71,1.083,-0.179,3.5,37,3,7,-3,1.380211242,0.001,24,0.176091259,1.5,-3.301029996,0.0005,3.765817515,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,0,40.5,52,37.3,6.5,6,5.99273862,-0.254557431,-0.254557431
19,MnFe2O4,1,0.3040,1.76,2.71,1.083,-0.179,3.5,37,3,7,-3,1.380211242,0.001,24,0.176091259,1.5,-3.301029996,0.0005,4.294091292,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,0,40.5,52,37.3,6.5,6,5.99273862,-0.254557431,-0.254557431
20,MnFe2O4,1,0.6050,5.38E-05,2.71,1.083,-0.179,3.5,25,3,7,-3,-0.096910013,0.001,0.8,no,0,-1.397940009,0.04,2.334453751,192.12,0.2,192.123,0,12.84164325,0,3.853986625,4.619312135,1.144212963,-2.738425926,0,-2.738425926,0,-0.481138775,0,0,226,52,40.5,132.13,-1.7,5.99273862,6,-0.39829863,0.037337328
21,MnFe2O4,1,0.5280,2.15E-05,2.71,1.083,-0.179,3.5,25,3,7,-3,1.146128036,0.001,14,-0.096910013,0.8,-1.397940009,0.04,2.334453751,192.12,0.2,192.123,0,12.84164325,0,3.853986625,4.619312135,1.144212963,-2.738425926,0,-2.738425926,0,-0.481138775,0,0,0,40.5,52,132.13,-1.7,6,5.99273862,-0.254557431,-0.254557431
22,MgFe2O4,1,0.6700,2.09E-05,2.676,1.067,-0.349,4,45,3,7,,-0.397940009,,0.4,,,-1.397940009,0.04,7.027268042,20000,0.2,44.053,0,13.21376393,2,0.206165084,2.25,1,1,0,0,0,-0.376667636,13.21376393,0,226,52,40.5,12.53,-0.1,5.99273862,6,-0.39829863,0.037337328
23,MgFe2O4,1,0.1400,0.0001254,2.676,1.067,-0.349,4,45,3,7,-0.920818754,-0.397940009,0.12,0.4,1.079181246,12,-1.397940009,0.04,7.027268042,20000,0.2,44.053,0,13.21376393,2,0.206165084,2.25,1,1,0,0,0,-0.376667636,13.21376393,0,0,883,40.5,12.53,-0.1,11.3319983,6,-0.744035145,0.211204803
24,MgFe2O4,1,4.6100,0.0001346,2.676,1.067,-0.349,4,45,3,7,0,1.301029996,1,20,-0.397940009,0.4,-1.397940009,0.04,7.027268042,20000,0.2,44.053,0,13.21376393,2,0.206165084,2.25,1,1,0,0,0,-0.376667636,13.21376393,0,0,40.5,52,12.53,-0.1,6,5.99273862,-0.254557431,-0.254557431
25,NiFe2O4,1,0.5500,4.57E-05,2.761,1.137,-0.047,4,45,3,7,,,,,,,-1.397940009,0.04,6.903089987,20000,0.2,44.053,0,13.21376393,2,0.206165084,2.25,1,1,0,0,0,-0.376667636,13.21376393,0,226,52,40.5,12.53,-0.1,5.99273862,6,-0.39829863,0.037337328
26,NiFe2O4,1,0.4600,0.0001748,2.761,1.137,-0.047,4,45,3,7,-0.920818754,-0.397940009,0.12,0.4,1.079181246,12,-1.397940009,0.04,6.903089987,20000,0.2,44.053,0,13.21376393,2,0.206165084,2.25,1,1,0,0,0,-0.376667636,13.21376393,0,0,883,40.5,12.53,-0.1,11.3319983,6,-0.744035145,0.211204803
27,NiFe2O4,1,2.6000,0.0001411,2.761,1.137,-0.047,4,45,3,7,0,1.301029996,1,20,-0.397940009,0.4,-1.397940009,0.04,6.903089987,20000,0.2,44.053,0,13.21376393,2,0.206165084,2.25,1,1,0,0,0,-0.376667636,13.21376393,0,0,40.5,52,12.53,-0.1,6,5.99273862,-0.254557431,-0.254557431
28,ZnFe2O4,1,490.7200,6.32E-05,2.724,1.07,-0.119,4,25,3,7,0.977723605,2.802089258,9.5,634,1,10,0.221848758,1.6666667,4.879760868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
29,ZnFe2O4,1,0.5090,9.18E-05,2.724,1.07,-0.119,4,25,3,7,1.556302501,2.831229694,36,678,2.245512668,176,0.221848758,1.6666667,4.879760868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
30,ZnFe2O4,1,0.8500,0.0001331,2.724,1.07,-0.119,4,40,3,7,-1,0.204119983,0.1,1.6,-0.698970004,0.2,-1.397940009,0.04,6.903089987,20000,0.2,106.121,0,26.42752786,1.75,5.88,1.05E-07,0.125,-0.125,0,0,0,-0.393990542,13.21376393,0,226,52,40.5,52.99,53,5.99273862,6,-0.39829863,0.037337328
31,ZnFe2O4,1,1.6600,7.74E-05,2.724,1.07,-0.119,4,40,3,7,-3,1.204119983,0.001,16,-0.494850022,0.32,-1.397940009,0.04,6.903089987,20000,0.2,106.121,0,26.42752786,1.75,5.88,1.05E-07,0.125,-0.125,0,0,0,-0.393990542,13.21376393,0,0,40.5,52,52.99,53,6,5.99273862,-0.254557431,-0.254557431
32,NiCo2O4,1,0.1420,2.22E-05,2.776,1.127,0.077,4,37,3,2,-2,0.176091259,0.01,1.5,-0.698970004,0.2,-1.698970004,0.02,6,62.07,0.2,62.068,0,13.21376393,-0.25,2.92,1.974744871,0.125,-0.125,0,0,0,-0.393990542,0,0,226,52,40.5,40.46,-1.4,5.99273862,6,-0.39829863,0.037337328
33,NiCo2O4,1,9.4060,0.0002584,2.776,1.127,0.077,4,37,3,2,-1,1.301029996,0.1,20,0.602059991,4,-1.698970004,0.02,6,62.07,0.2,62.068,0,13.21376393,-0.25,2.92,1.974744871,0.125,-0.125,0,0,0,-0.393990542,0,0,0,40.5,52,40.46,-1.4,6,5.99273862,-0.254557431,-0.254557431
34,CdCo2O4,1,0.3170,2.19E-05,2.744,1.09,0.057,4,35,1,7,-1,0.903089987,0.1,8,0.477121255,3,-0.698970004,0.2,5.795880017,200,0.2,44.053,0,13.21376393,2,0.206165084,2.25,1,1,0,0,0,-0.376667636,13.21376393,0,226,52,40.5,12.53,-0.1,5.99273862,6,-0.39829863,0.037337328
35,CdCo2O4,1,0.3250,3.75E-05,2.744,1.09,0.057,4,35,1,7,-1,0.477121255,0.1,3,0.903089987,8,-0.698970004,0.2,5.795880017,200,0.2,44.053,0,13.21376393,2,0.206165084,2.25,1,1,0,0,0,-0.376667636,13.21376393,0,0,40.5,52,12.53,-0.1,6,5.99273862,-0.254557431,-0.254557431
36,CuWO4,1,0.2000,0.00472,3.003,1.108,0.042,3,28,3,1,-2,-0.207608311,0.01,0.62,0.672097858,4.7,0,1,5.458631807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
37,CuWO4,1,0.3800,0.000113,3.003,1.108,0.042,3,28,3,1,-0.698970004,0.322219295,0.2,2.1,-0.619788758,0.24,0,1,5.458631807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
38,FeWO4,1,1.1800,0.0001148,2.992,1.117,-0.09,3,40,3,2,-1.698970004,-0.22184875,0.02,0.6,2.568201724,370,-1.420216403,0.038,10.60205999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
39,FeWO4,1,0.5900,2.18E-05,2.992,1.117,-0.09,3,40,3,2,-0.698970004,1,0.2,10,-0.721246399,0.19,-1.420216403,0.038,10.60205999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
40,Co2V2O7,1,0.3110,2.58E-05,2.827,1.086,-0.096,5,30,3,2,-1.301029996,-0.397940009,0.05,0.4,0.903089987,8,-1.522878745,0.03,7.193820026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
41,Co2V2O7,1,0.6690,1.25E-05,2.827,1.086,-0.096,5,30,3,2,-0.301029996,0.84509804,0.5,7,-0.301029996,0.5,-1.522878745,0.03,7.193820026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
42,FeVO4,1,0.6910,2.51E-05,2.87,1.084,-0.048,4,25,1,3,-1,-0.096910013,0.1,0.8,1,10,-1,0.1,7.301029996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
43,FeVO4,1,0.0732,2.72E-05,2.87,1.084,-0.048,4,25,1,3,1,2.397940009,10,250,-0.096910013,0.8,-1,0.1,7.301029996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
44,AgVO3,1,0.3330,no,2.776,1.15,0.11,4,25,3,2,-1.301029996,0,0.05,1,-0.22184875,0.6,-1.698970004,0.02,8.698970004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
45,AgVO3,1,1.3000,no,2.776,1.15,0.11,4,25,3,2,-1.301029996,0,0.05,1,-0.397940009,0.4,-1.698970004,0.02,8.698970004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
46,AgVO3,1,0.0412,no,2.776,1.15,0.11,4,25,1,2,-2,-0.522878745,0.01,0.3,0.903089987,8,-2.346787486,0.0045,6.367877507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
47,AgVO3,1,5.2910,no,2.776,1.15,0.11,4,25,1,2,0,1.698970004,1,50,-1,0.1,-2.346787486,0.0045,6.367877507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
48,CoMoO4,1,0.0770,0.0005105,2.967,1.109,-0.021,4,25,1,2,-1,-0.096910013,0.1,0.8,1.301029996,20,-1.823908741,0.015,8.653212514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
49,AgVO3,1,8.0300,no,2.776,1.15,0.11,5,25,1,2,-0.22184875,0.204119983,0.6,1.6,1,10,-0.522878745,0.3,7.176091259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
50,AgVO3,1,14.0000,no,2.776,1.15,0.11,5,25,1,2,0,1.698970004,1,50,-0.096910013,0.8,-0.522878745,0.3,7.176091259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
51,CoMoO4,1,1.1150,0.0001162,2.967,1.109,-0.021,4,25,1,2,0,1.698970004,1,50,0.903089987,8,-1.823908741,0.015,8.653212514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
52,CuMnO2,1,0.5770,8.15E-05,2.582,1.09,-0.21,4.5,25,2,2,-1,0.176091259,0.1,1.5,2,100,-2,0.01,4.204119983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
53,CuMnO2,1,27.6530,0.0002765,2.582,1.09,-0.21,4.5,25,2,2,0,2.301029996,1,200,2.698970004,500,-2,0.01,4.204119983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
54,Cu0.89Zn0.11O,1,10.0000,2.88E-05,2.656,1.066,0.11,4.65,25,3,5,-0.698970004,1,0.2,10,2.301029996,200,-1,0.1,2.62518379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
55,Cu0.89Zn0.11O,1,71.0000,3.00E-06,2.656,1.066,0.11,4.65,25,3,5,1,2,10,100,1,10,-1,0.1,2.62518379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
56,Fe2(MoO4)3,1,1.1260,3.73E-05,3.025,1.111,0.023,4,25,1,3,-1,-0.096910013,0.1,0.8,1,10,-0.522878745,0.3,7.903089987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
57,Fe2(MoO4)3,1,0.1060,7.51E-05,3.025,1.111,0.023,4,25,1,3,0.301029996,1.698970004,2,50,0.903089987,8,-0.522878745,0.3,7.903089987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
58,(CeO2)0.10/CoO,1,0.2450,0.0001478,,,-0.215,5,25,3,7,-1,0,0.1,1,-1.698970004,0.02,-1.522878745,0.03,8.334453751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
59,(CeO2)0.10/CoO,1,0.1330,0.001101,,,-0.215,5,25,3,7,-1.698970004,-0.698970004,0.02,0.2,1.301029996,20,-1.522878745,0.03,8.334453751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
60,CoO/CeO2,1,1.8100,2.70E-05,,,-0.215,3.6,25,1,7,-0.522878745,0.477121255,0.3,3,-1,0.1,-1.07918142,0.0833333,7.176091259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
61,CoO/CeO2,1,0.0210,2.80E-05,,,-0.215,3.6,25,1,7,-2,-0.886056648,0.01,0.13,0.477121255,3,-1.07918142,0.0833333,7.176091259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
62,Co3O4/CeO2,1,0.3600,0.0001666,,,-0.29,6,30,1,7,0,0.477121255,1,3,0.079181246,1.2,0.477121255,3,7.903089987,,0.2,111.144,12.62077651,0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0,12.96557803,-0.319671229,12.96557803,12.77889057,226,52,40.5,20.31,0.4,5.99273862,6,-0.39829863,0.037337328
63,Co3O4/CeO2,1,132.2100,4.34E-05,,,-0.29,6,30,1,7,1.698970004,2.698970004,50,500,-0.096910013,0.8,0.477121255,3,7.026975382,,0.2,111.144,12.62077651,0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0,12.96557803,-0.319671229,12.96557803,12.77889057,0,40.5,52,20.31,0.4,6,5.99273862,-0.254557431,-0.254557431
64,Fe3O4@CeO2,1,0.1500,6.40E-06,,,-0.29,3.5,40,3,7,-1.301029996,0,0.05,1,1.698970004,50,-0.779255588,0.1662434,8.398021648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
65,Fe3O4@CeO2,1,1.1300,0.000125,,,-0.29,3.5,40,3,7,-0.301029996,0.602059991,0.5,4,2,100,-0.779255588,0.1662434,8.398021648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
66,Pd/CeO2,1,0.3900,5.94E-05,,,0.27,4,30,3,7,-2,0,0.01,1,2.514547753,327,-2.777283529,0.00167,4.63357954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
67,Pd/CeO2,1,9.4300,1.91E-05,,,0.27,4,30,3,7,-3,3,0.001,1000,-0.777283529,0.17,-2.777283529,0.00167,4.63357954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
68,Ce-Fe3O4,1,0.0180,1.25E-05,,,,4,25,3,7,-2.301029996,-0.522878745,0.005,0.3,-0.397940009,0.4,-1.823908741,0.015,3.528273777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
69,Ce-Fe3O4,1,6.9420,0.0005,,,,4,25,3,7,-2.301029996,-0.397940009,0.005,0.4,-0.698970004,0.2,-1.823908741,0.015,3.528273777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
70,Fe3O4-MnO2,1,0.1010,5.70E-06,,,0.016,4,40,3,4,-1.301029996,-0.522878745,0.05,0.3,1.301029996,20,-0.779255588,0.1662434,9.903089987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
71,Fe3O4-MnO2,1,0.0410,2.94E-05,,,0.016,4,40,3,4,-3,0,0.001,1,-0.522878745,0.3,-0.779255588,0.1662434,9.903089987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
72,Pt-WO2.72,1,0.1050,no,,,1.2,4,40,3,2,-0.522878745,-0.522878745,0.3,0.3,1.301029996,20,-2.301029996,0.005,3.938019097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
73,Pt-WO2.72,1,8.4500,no,,,1.2,4,40,3,2,1.301029996,1.301029996,20,20,-0.522878745,0.3,-2.301029996,0.005,3.938019097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
74,Fe3O4,1,0.1070,3.62E-05,2.75,1.32,,4,25,3,7,-2.301029996,-0.522878745,0.005,0.3,-0.397940009,0.4,-1.823908741,0.015,3.528273777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
75,Fe3O4,1,155.0000,9.11E-05,2.75,1.32,,4,25,3,7,-2.301029996,-0.397940009,0.005,0.4,-0.698970004,0.2,-1.823908741,0.015,3.528273777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431
76,Fe3O4,1,0.2300,no,2.75,1.32,,4,25,3,7,-0.088309841,-0.088309841,0.816,0.816,2.72427587,530,-1.936418972,0.0115766,6.684430823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
77,Fe3O4,1,0.4600,no,2.75,1.32,,4,25,3,7,-0.088309841,-0.088309841,0.816,0.816,2.72427587,530,-1.936418972,0.0115766,6.868193602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
78,Fe3O4,1,0.5800,no,2.75,1.32,,4,25,3,7,-0.088309841,-0.088309841,0.816,0.816,2.72427587,530,-1.936418972,0.0115766,7.04374556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
79,Fe3O4,1,3.8900,0.0001493,2.75,1.32,,4,40,3,7,-1.301029996,-0.522878745,0.05,0.3,1.301029996,20,-0.779255588,0.1662434,7.175979217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328
